Locus_Tag,Recovery_6hours_vs_initial_encounter_ratio,Recovery_6hours_vs_initial_encounter_FDR,Recovery_6hours_vs_initial_encounter_siignificance,Recovery_10hours_vs_recovery_6hours_ratio,Recovery_10hours_vs_recovery_6hours_FDR,Recovery_10hours_vs_recovery_6hours_significance,Recovery_10hours_vs_initial_encounter_ratio,Recovery_10hours_vs_initial_encounter_FDR,Recovery_10hours_vs_initial_encounter_significance,Recovery_15hours_vs_recovery_6hours_ratio,Recovery_15hours_vs_recovery_6hours_FDR,Recovery_15hours_vs_recovery_6hours_significance,Recovery_15hours_vs_initial_encounter_ratio,Recovery_15hours_vs_initial_encounter_FDR,Recovery_15hours_vs_initial_encounter_significance,Locus Tag,min,max,Direction,McLean_product,NcLean_KEGG,McLean_COG,McLean_transport_group,Alternative_locus_tag,Genbank_protein_id,Genbank_product,PATRIC_id,PATRIC_product,PATRIC_class,eggNog_product,eggNog_gene_name,eggNog_EC,eggNog_KEGG,eggNog_KEGG_pathway,eggNog_KEGG_module,eggNog_KEGG_reaction,eggNog_KEGG_rclass,eggNog_COG,eggNog_GO,Locus_Tag
TM7x_02560,0.05,8.27E-01,no,-0.10,9.18E-01,no,-0.05,8.31E-01,no,-0.17,5.15E-01,no,-0.11,6.39E-01,no,TM7x_02560,484260,484754,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00516,AJA06859.1,hypothetical protein,fig|1476577.3.peg.473,hypothetical protein,,,,,,,,,,,,TM7x_02560
TM7x_02565,-2.57,3.00E-01,no,0.11,9.98E-01,no,-2.46,3.12E-01,no,0.48,9.58E-01,no,-2.09,3.88E-01,no,TM7x_02565,484800,485333,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00517,AJA06860.1,hypothetical protein,fig|1476577.3.peg.474,hypothetical protein,,,,,,,,,,,,TM7x_02565
TM7x_02575,1.57,2.85E-06,recovery,-0.09,9.18E-01,no,1.49,4.26E-06,recovery,0.02,9.77E-01,no,1.59,2.28E-06,recovery,TM7x_02575,485614,486417,forward,hypothetical protein,K06158,S: Function Unknown,unknown,TM7x001_00519,AJA06861.1,hypothetical protein,fig|1476577.3.peg.475,COG0488: ATPase components of ABC transporters with duplicated ATPase domains,,"ABC transporter, ATP-binding protein",,,K06158,,,,,S: Function Unknown,,TM7x_02575
TM7x_02580,1.37,2.51E-05,recovery,-0.04,9.98E-01,no,1.33,2.91E-05,recovery,0.09,7.82E-01,no,1.46,1.48E-05,recovery,TM7x_02580,486383,487255,forward,hypothetical protein,K06158,S: Function Unknown,unknown,TM7x001_00520,AJA06862.1,hypothetical protein,fig|1476577.3.peg.476,hypothetical protein,,ATPases associated with a variety of cellular activities,yjjK,,K06158,,,,,S: Function Unknown,,TM7x_02580
TM7x_02585,1.32,2.62E-04,recovery,-0.04,9.98E-01,no,1.29,3.13E-04,recovery,0.07,8.68E-01,no,1.39,1.73E-04,recovery,TM7x_02585,487229,487555,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00521,AJA06863.1,hypothetical protein,fig|1476577.3.peg.477,hypothetical protein,,,,,,,,,,,,TM7x_02585
TM7x_02590,-5.96,5.62E-10,initial,-0.01,9.98E-01,no,-5.98,4.50E-10,initial,0.02,9.77E-01,no,-5.94,7.98E-10,initial,TM7x_02590,487732,488400,reverse,tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228),K00554,J: Translation,,TM7x001_00522,AJA06552.1,tRNA (guanine-N1)-methyltransferase,fig|1476577.3.peg.478,tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228),,tRNA (Guanine-1)-methyltransferase,trmD,"2.1.1.228,4.6.1.12",K00554,"ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130",M00096,"R00597,R05637","RC00002,RC00003,RC00334,RC01440",J: Translation,"GO:0000287,GO:0001510,GO:0002939,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008168,GO:0008173,GO:0008175,GO:0008757,GO:0009019,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016423,GO:0016740,GO:0016741,GO:0016772,GO:0016779,GO:0030488,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0040007,GO:0042802,GO:0043167,GO:0043169,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046872,GO:0050518,GO:0052906,GO:0070567,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360",TM7x_02590
TM7x_02595,-4.00,4.46E-04,initial,0.14,9.98E-01,no,-3.86,4.97E-04,initial,0.11,9.77E-01,no,-3.89,4.98E-04,initial,TM7x_02595,488505,489071,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00523,AJA06864.1,hypothetical protein,,,,,,,,,,,,,,TM7x_02595
TM7x_02600,-5.61,3.45E-06,initial,0.66,7.15E-01,no,-4.95,5.22E-06,initial,0.56,6.11E-01,no,-5.05,4.47E-06,initial,TM7x_02600,489334,490143,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00524,AJA06865.1,hypothetical protein,fig|1476577.3.peg.479,hypothetical protein,,,,,,,,,,,,TM7x_02600
TM7x_02605,0.06,8.27E-01,no,0.16,8.07E-01,no,0.22,4.02E-01,no,0.10,8.02E-01,no,0.16,5.49E-01,no,TM7x_02605,490276,490665,reverse,hypothetical protein,K06960,L: Replication and repair,,TM7x001_00525,AJA06553.1,hypothetical protein,fig|1476577.3.peg.480,KH domain RNA binding protein YlqC,,Belongs to the UPF0109 family,CP_0026,,K06960,,,,,L: Replication and repair,,TM7x_02605
TM7x_02610,-0.09,6.77E-01,no,0.14,7.42E-01,no,0.05,8.22E-01,no,0.04,9.34E-01,no,-0.05,8.22E-01,no,TM7x_02610,490736,491452,reverse,hypothetical protein,K03685,J: Translation,,TM7x001_00526,AJA06554.1,hypothetical protein,fig|1476577.3.peg.481,Ribonuclease III (EC 3.1.26.3),RNA Processing,"Digests double-stranded RNA. Involved in the processing of primary rRNA transcript to yield the immediate precursors to the large and small rRNAs (23S and 16S). Processes some mRNAs, and tRNAs when they are encoded in the rRNA operon. Processes pre- crRNA and tracrRNA of type II CRISPR loci if present in the organism",rnc,3.1.26.3,K03685,"ko03008,ko05205,map03008,map05205",,,,J: Translation,,TM7x_02610
TM7x_02615,-0.18,1.88E-01,no,0.33,3.35E-02,no,0.15,2.55E-01,no,0.26,3.97E-02,no,0.08,5.58E-01,no,TM7x_02615,491453,491950,reverse,"diadenosine 5'5'''-P1,P4-tetraphosphate pyrophosphohydrolase",K00974,F: Nucleotide metabolism and transport,,TM7x001_00527,AJA06555.1,"diadenosine 5'5'''-P1,P4-tetraphosphate pyrophosphohydrolase",fig|1476577.3.peg.482,hypothetical protein,,NUDIX domain,apfA,"2.7.7.72,3.6.1.55,3.6.1.61",K00974,"ko00230,ko03013,map00230,map03013",,"R00184,R09382,R09383,R09384,R09386","RC00002,RC00078",F: Nucleotide metabolism and transport,,TM7x_02615
TM7x_02620,-0.30,4.59E-02,no,0.55,7.48E-03,hour10,0.25,7.77E-02,no,0.40,5.34E-03,no,0.10,4.77E-01,no,TM7x_02620,491931,492389,reverse,Transcription termination protein NusB,K03625,K: Transcription,,TM7x001_00528,AJA06556.1,nitrogen utilization protein B,fig|1476577.3.peg.483,Transcription termination protein NusB,,Involved in transcription antitermination. Required for transcription of ribosomal RNA (rRNA) genes. Binds specifically to the boxA antiterminator sequence of the ribosomal RNA (rrn) operons,nusB,,K03625,,,,,K: Transcription,,TM7x_02620
TM7x_02630,-1.86,2.67E-05,initial,0.09,9.98E-01,no,-1.77,3.53E-05,initial,-0.01,9.95E-01,no,-1.87,2.48E-05,initial,TM7x_02630,492696,493223,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00530,AJA06866.1,hypothetical protein,fig|1476577.3.peg.485,hypothetical protein,,,,,,,,,,,,TM7x_02630
TM7x_02635,0.59,8.43E-05,recovery,0.05,8.55E-01,no,0.64,3.96E-05,recovery,-0.18,6.01E-02,no,0.41,1.23E-03,no,TM7x_02635,493232,495718,reverse,leucine--tRNA ligase,K01869,J: Translation,,TM7x001_00531,AJA06557.1,leucine--tRNA ligase,fig|1476577.3.peg.486,Leucyl-tRNA synthetase (EC 6.1.1.4),Protein Processing,Belongs to the class-I aminoacyl-tRNA synthetase family,leuS,6.1.1.4,K01869,"ko00970,map00970","M00359,M00360",R03657,"RC00055,RC00523",J: Translation,"GO:0003674,GO:0003824,GO:0004812,GO:0004823,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006429,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016020,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0030312,GO:0034641,GO:0034645,GO:0034660,GO:0040007,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576",TM7x_02635
TM7x_02640,0.82,1.27E-03,recovery,0.12,7.65E-01,no,0.95,4.36E-04,recovery,0.09,7.55E-01,no,0.91,6.29E-04,recovery,TM7x_02640,495789,496847,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00532,AJA06867.1,hypothetical protein,fig|1476577.3.peg.487,hypothetical protein,,,,,,,,,,,,TM7x_02640
TM7x_02645,1.24,1.13E-04,recovery,-0.07,9.63E-01,no,1.17,1.71E-04,recovery,-0.02,9.77E-01,no,1.22,1.29E-04,recovery,TM7x_02645,496887,498176,reverse,hypothetical protein,K01775,M: Cell wall/membrane/envelop biogenesis,,TM7x001_00533,AJA06868.1,hypothetical protein,fig|1476577.3.peg.488,hypothetical protein,,"Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide, the precursor of murein",murF,"5.1.1.1,6.3.2.10",K01775,"ko00300,ko00473,ko00550,ko01100,ko01502,map00300,map00473,map00550,map01100,map01502",,"R00401,R04573,R04617","RC00064,RC00141,RC00285",M: Cell wall/membrane/envelop biogenesis,,TM7x_02645
TM7x_02650,-0.68,2.96E-01,no,-0.25,9.54E-01,no,-0.92,1.59E-01,no,-0.31,7.33E-01,no,-0.99,1.35E-01,no,TM7x_02650,498334,499032,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00534,AJA06869.1,hypothetical protein,fig|1476577.3.peg.489,hypothetical protein,,,,,,,,,,,,TM7x_02650
TM7x_02655,-0.04,8.72E-01,no,-0.29,2.71E-01,no,-0.33,1.43E-01,no,-0.23,2.69E-01,no,-0.26,2.36E-01,no,TM7x_02655,499048,499824,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00535,AJA06870.1,hypothetical protein,fig|1476577.3.peg.490,hypothetical protein,,Glycosyltransferase like family 2,,"2.4.1.268,2.4.1.83",K00721,"ko00510,ko00906,ko01100,ko02024,ko02025,map00510,map00906,map01100,map02024,map02025",,"R01009,R07544,R07546","RC00005,RC00262",S: Function Unknown,,TM7x_02655
TM7x_02660,0.55,1.32E-03,recovery,-0.24,1.26E-01,no,0.31,3.58E-02,no,-0.31,2.10E-02,no,0.24,9.03E-02,no,TM7x_02660,499847,500278,reverse,hypothetical protein,K07052,I: Lipid metabolism,,TM7x001_00536,AJA06558.1,hypothetical protein,fig|1476577.3.peg.491,hypothetical protein,,bis(5'-adenosyl)-triphosphatase activity,,,K07052,,,,,I: Lipid metabolism,,TM7x_02660
TM7x_02665,-0.01,9.43E-01,no,-0.27,1.17E-01,no,-0.28,5.81E-02,no,-0.29,3.44E-02,no,-0.31,4.41E-02,no,TM7x_02665,500288,502300,reverse,NAD-dependent DNA ligase LigA,K01972,L: Replication and repair,,TM7x001_00537,AJA06559.1,NAD-dependent DNA ligase LigA,fig|1476577.3.peg.492,DNA ligase (NAD(+)) (EC 6.5.1.2),,breast cancer carboxy-terminal domain,ligA,"2.7.7.7,6.5.1.2",K01972,"ko00230,ko00240,ko01100,ko03030,ko03410,ko03420,ko03430,ko03440,map00230,map00240,map01100,map03030,map03410,map03420,map03430,map03440",M00260,"R00375,R00376,R00377,R00378,R00382","RC00005,RC02795",L: Replication and repair,"GO:0003674,GO:0003824,GO:0003909,GO:0003911,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006266,GO:0006281,GO:0006284,GO:0006288,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009987,GO:0016874,GO:0016886,GO:0033554,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050896,GO:0051103,GO:0051716,GO:0071704,GO:0090304,GO:0140097,GO:1901360",TM7x_02665
TM7x_02670,0.18,3.32E-01,no,0.05,9.84E-01,no,0.23,2.11E-01,no,0.05,8.51E-01,no,0.23,2.11E-01,no,TM7x_02670,502272,503372,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00538,AJA06871.1,hypothetical protein,fig|1476577.3.peg.493,hypothetical protein,,,,,,,,,,,,TM7x_02670
TM7x_02675,0.31,3.97E-02,no,0.18,2.54E-01,no,0.49,3.25E-03,no,0.08,6.19E-01,no,0.39,1.37E-02,no,TM7x_02675,503375,504250,reverse,protease,K03799,"O: Post-translational modification, protein turnover, chaperone functions",,TM7x001_00539,AJA06560.1,protease,fig|1476577.3.peg.494,Heat shock protein HtpX,,Peptidase family M48,htpX,,K03799,,M00743,,,"O: Post-translational modification, protein turnover, chaperone functions",,TM7x_02675
TM7x_02680,-0.39,2.13E-02,no,-0.06,9.63E-01,no,-0.45,9.55E-03,no,-0.10,6.91E-01,no,-0.49,6.63E-03,no,TM7x_02680,504313,504882,reverse,membrane protein,K03744,S: Function Unknown,,TM7x001_00540,AJA06561.1,membrane protein,fig|1476577.3.peg.495,LemA protein,,LemA family,lemA,,K03744,,,,,S: Function Unknown,,TM7x_02680
TM7x_02690,-1.12,2.36E-03,initial,0.16,9.00E-01,no,-0.97,5.76E-03,initial,0.07,9.19E-01,no,-1.05,3.52E-03,initial,TM7x_02690,505069,505659,forward,hypothetical protein,K07002,S: Function Unknown,,TM7x001_00542,AJA06872.1,hypothetical protein,fig|1476577.3.peg.496,BH0848 unknown,,Serine hydrolase,,,K07002,,,,,S: Function Unknown,,TM7x_02690
TM7x_02705,-0.75,1.22E-04,initial,0.00,9.98E-01,no,-0.75,1.17E-04,initial,0.01,9.94E-01,no,-0.74,1.30E-04,initial,TM7x_02705,505886,507676,reverse,"ABC-type dipeptide transport system, periplasmic component, possible AI-2 receptor",K02035,E: Amino Acid metabolism and transport T: Signal Transduction,peptide,TM7x001_00545,AJA06873.1,hypothetical protein,fig|1476577.3.peg.497,hypothetical protein,,"Bacterial extracellular solute-binding proteins, family 5 Middle",,,K02035,"ko02024,map02024",M00239,,,E: Amino Acid metabolism and transport,,TM7x_02705
TM7x_02710,-0.74,1.77E-03,initial,0.01,9.98E-01,no,-0.73,1.80E-03,initial,-0.03,9.53E-01,no,-0.77,1.34E-03,initial,TM7x_02710,507687,507917,reverse,preprotein translocase subunit SecG,,U: Intracellular trafficing and secretion,other,TM7x001_00546,AJA06562.1,preprotein translocase subunit SecG,fig|1476577.3.peg.498,hypothetical protein,,,,,,,,,,,,TM7x_02710
TM7x_02715,-1.20,8.22E-06,initial,-0.07,9.54E-01,no,-1.26,5.26E-06,initial,-0.02,9.77E-01,no,-1.21,6.89E-06,initial,TM7x_02715,507913,508299,reverse,hypothetical protein,K08972,S: Function Unknown,,TM7x001_00547,AJA06563.1,hypothetical protein,fig|1476577.3.peg.499,hypothetical protein,,"Mycobacterial 4 TMS phage holin, superfamily IV",yvlD,,K08972,,,,,S: Function Unknown,,TM7x_02715
TM7x_02720,-0.98,5.33E-06,initial,-0.17,3.97E-01,no,-1.14,1.53E-06,initial,-0.04,8.51E-01,no,-1.02,3.83E-06,initial,TM7x_02720,508326,509927,reverse,excinuclease ABC subunit C,K03703,L: Replication and repair,,TM7x001_00548,AJA06564.1,excinuclease ABC subunit C,fig|1476577.3.peg.500,Excinuclease ABC subunit C,DNA Processing,The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrC both incises the 5' and 3' sides of the lesion. The N-terminal half is responsible for the 3' incision and the C-terminal half is responsible for the 5' incision,uvrC,,K03703,"ko03420,map03420",,,,L: Replication and repair,"GO:0005575,GO:0005622,GO:0005623,GO:0006950,GO:0006974,GO:0008150,GO:0009380,GO:0009987,GO:0032991,GO:0033554,GO:0044424,GO:0044464,GO:0050896,GO:0051716,GO:1902494,GO:1905347,GO:1905348,GO:1990391",TM7x_02720
TM7x_02725,-0.89,4.28E-05,initial,-0.12,7.39E-01,no,-1.00,1.46E-05,initial,-0.01,9.77E-01,no,-0.90,3.82E-05,initial,TM7x_02725,510030,510506,reverse,hypothetical protein,,F: Nucleotide metabolism and transport,,TM7x001_00549,AJA06565.1,ADP-ribose pyrophosphatase,fig|1476577.3.peg.501,hypothetical protein,,Belongs to the Nudix hydrolase family,mutT,,,,,,,F: Nucleotide metabolism and transport,,TM7x_02725
TM7x_02730,-0.83,7.82E-05,initial,-0.07,9.48E-01,no,-0.90,3.96E-05,initial,0.04,9.24E-01,no,-0.80,1.10E-04,initial,TM7x_02730,510549,510944,reverse,cupin,,G: Carbohydrate metabolism and transport,,TM7x001_00550,AJA06566.1,cupin,fig|1476577.3.peg.502,Mannose-6-phosphate isomerase,,"Cupin 2, conserved barrel domain protein",yrkC,,,,,,,G: Carbohydrate metabolism and transport,,TM7x_02730
TM7x_02735,-0.82,3.53E-04,initial,-0.07,9.63E-01,no,-0.89,1.87E-04,initial,0.00,9.97E-01,no,-0.82,3.50E-04,initial,TM7x_02735,510970,511299,reverse,thioredoxin,K03671,"O: Post-translational modification, protein turnover, chaperone functions",,TM7x001_00551,AJA06567.1,thioredoxin,fig|1476577.3.peg.503,Thioredoxin,,Thioredoxin-like,trxA,1.8.1.8,K03671,"ko04621,ko05418,map04621,map05418",,,,"O: Post-translational modification, protein turnover, chaperone functions",,TM7x_02735
TM7x_02740,-0.94,4.73E-05,initial,-0.07,9.54E-01,no,-1.01,2.62E-05,initial,0.10,6.19E-01,no,-0.84,1.17E-04,initial,TM7x_02740,511299,511691,reverse,hypothetical protein,K09825,K: Transcription,,TM7x001_00552,AJA06874.1,hypothetical protein,,,,Belongs to the Fur family,perR,,K09825,,,,,K: Transcription,"GO:0003674,GO:0003700,GO:0006355,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0019219,GO:0019222,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0045892,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0060255,GO:0065007,GO:0080090,GO:0140110,GO:1902679,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2000374,GO:2001141",TM7x_02740
TM7x_02745,0.81,1.98E-03,recovery,-0.18,6.16E-01,no,0.64,8.83E-03,recovery,-0.16,5.20E-01,no,0.66,7.63E-03,recovery,TM7x_02745,512146,513720,forward,Lipid A export permease/ATP-binding protein MsbA,K06147,V: Defense mechanisms,other,TM7x001_00553,AJA06568.1,ABC transporter,fig|1476577.3.peg.504,Lipid A export permease/ATP-binding protein MsbA,,(ABC) transporter,,,K06147,"ko02020,map02020",M00326,,,V: Defense mechanisms,,TM7x_02745
TM7x_02750,0.52,2.10E-02,recovery,0.02,9.98E-01,no,0.54,1.72E-02,recovery,0.03,9.51E-01,no,0.55,1.57E-02,recovery,TM7x_02750,513759,514409,forward,membrane protein,K03975,S: Function Unknown,,TM7x001_00554,AJA06569.1,membrane protein,fig|1476577.3.peg.505,DedA protein,,Membrane-associated protein,dedA,,K03975,,,,,S: Function Unknown,,TM7x_02750
TM7x_02755,-0.49,4.23E-02,no,-0.09,9.56E-01,no,-0.58,1.90E-02,initial,0.02,9.77E-01,no,-0.47,4.83E-02,no,TM7x_02755,514412,517222,reverse,excinuclease ABC subunit A,K03701,L: Replication and repair,,TM7x001_00555,AJA06570.1,excinuclease ABC subunit A,fig|1476577.3.peg.506,Excinuclease ABC subunit A,DNA Processing,"The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate",uvrA,,K03701,"ko03420,map03420",,,,L: Replication and repair,,TM7x_02755
TM7x_02760,0.68,1.29E-03,recovery,-0.03,9.98E-01,no,0.65,1.66E-03,recovery,-0.05,8.87E-01,no,0.63,2.09E-03,recovery,TM7x_02760,517344,517730,forward,hypothetical protein,,S: Function Unknown,,,AJA06875.1,hypothetical protein,,,,,,,,,,,,,,TM7x_02760
TM7x_02765,1.07,5.88E-06,recovery,-0.07,8.86E-01,no,0.99,9.39E-06,recovery,-0.23,8.84E-02,no,0.83,4.33E-05,recovery,TM7x_02765,517742,519310,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00557,AJA06876.1,hypothetical protein,fig|1476577.3.peg.508,hypothetical protein,,,,,,,,,,,,TM7x_02765
TM7x_02770,0.00,9.68E-01,no,-0.24,6.09E-02,no,-0.24,2.67E-02,no,-0.25,2.13E-02,no,-0.25,2.16E-02,no,TM7x_02770,519428,520846,reverse,exonuclease I,K01141,L: Replication and repair,,TM7x001_00558,AJA06571.1,exonuclease I,fig|1476577.3.peg.509,Exodeoxyribonuclease I (EC 3.1.11.1),,COG2925 Exonuclease I,sbcB,3.1.11.1,K01141,"ko03430,map03430",,,,L: Replication and repair,"GO:0000175,GO:0000287,GO:0000738,GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0003824,GO:0004518,GO:0004527,GO:0004529,GO:0004532,GO:0004536,GO:0004540,GO:0005488,GO:0006139,GO:0006259,GO:0006308,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008296,GO:0008297,GO:0008310,GO:0008408,GO:0008852,GO:0009056,GO:0009057,GO:0009987,GO:0016070,GO:0016787,GO:0016788,GO:0016796,GO:0016829,GO:0016835,GO:0016895,GO:0016896,GO:0019439,GO:0034641,GO:0034655,GO:0043167,GO:0043169,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0046483,GO:0046700,GO:0046872,GO:0051575,GO:0071704,GO:0090304,GO:0090305,GO:0090501,GO:0090503,GO:0097159,GO:0140097,GO:0140098,GO:1901360,GO:1901361,GO:1901363,GO:1901575",TM7x_02770
TM7x_02775,-0.06,7.28E-01,no,-0.29,1.81E-01,no,-0.35,4.18E-02,no,-0.34,4.74E-02,no,-0.40,2.24E-02,no,TM7x_02775,520865,522184,reverse,GTPase,K03979,S: Function Unknown,,TM7x001_00559,AJA06572.1,GTPase,fig|1476577.3.peg.510,GTP-binding protein Obg,,"An essential GTPase which binds GTP, GDP and possibly (p)ppGpp with moderate affinity, with high nucleotide exchange rates and a fairly low GTP hydrolysis rate. Plays a role in control of the cell cycle, stress response, ribosome biogenesis and in those bacteria that undergo differentiation, in morphogenesis control",obg,,K03979,,,,,S: Function Unknown,"GO:0000003,GO:0000160,GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0007154,GO:0007165,GO:0008150,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019954,GO:0023052,GO:0030436,GO:0032502,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0035556,GO:0035639,GO:0036094,GO:0043021,GO:0043022,GO:0043167,GO:0043168,GO:0043934,GO:0044424,GO:0044464,GO:0044877,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0097159,GO:0097367,GO:1901265,GO:1901363",TM7x_02775
TM7x_02780,-0.22,6.06E-02,no,-0.31,5.83E-02,no,-0.53,4.36E-04,initial,-0.36,1.17E-02,no,-0.58,2.19E-04,initial,TM7x_02780,522251,523471,reverse,hypothetical protein,K01447,M: Cell wall/membrane/envelop biogenesis,,TM7x001_00560,AJA06573.1,hypothetical protein,fig|1476577.3.peg.511,hypothetical protein,,CHAP domain,xlyB,3.5.1.28,K01447,,,R04112,"RC00064,RC00141",M: Cell wall/membrane/envelop biogenesis,,TM7x_02780
TM7x_02785,0.44,7.26E-03,no,-0.06,9.18E-01,no,0.38,1.61E-02,no,-0.07,6.84E-01,no,0.37,1.83E-02,no,TM7x_02785,523660,524736,reverse,hypothetical protein,K07082,S: Function Unknown,,TM7x001_00561,AJA06877.1,hypothetical protein,fig|1476577.3.peg.512,Murein endolytic transglycosylase MltG,,Functions as a peptidoglycan terminase that cleaves nascent peptidoglycan strands endolytically to terminate their elongation,mltG,,K07082,,,,,S: Function Unknown,,TM7x_02785
TM7x_02790,0.08,6.00E-01,no,0.07,8.76E-01,no,0.15,3.10E-01,no,0.17,1.72E-01,no,0.25,9.92E-02,no,TM7x_02790,524723,525136,reverse,Holliday junction resolvase,K07447,J: Translation,,TM7x001_00562,AJA06574.1,Holliday junction resolvase,fig|1476577.3.peg.513,Putative pre-16S rRNA nuclease YqgF,"Stress Response, Defense, Virulence",Could be a nuclease involved in processing of the 5'-end of pre-16S rRNA,yqgF,,K07447,,,,,J: Translation,"GO:0000966,GO:0000967,GO:0003674,GO:0003824,GO:0004518,GO:0004527,GO:0004529,GO:0004536,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008296,GO:0008408,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016787,GO:0016788,GO:0016796,GO:0016895,GO:0022613,GO:0034470,GO:0034471,GO:0034641,GO:0034660,GO:0040007,GO:0042254,GO:0043170,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:0090305,GO:0140097,GO:1901360",TM7x_02790
TM7x_02795,0.54,2.86E-03,recovery,0.04,9.98E-01,no,0.58,1.76E-03,recovery,0.07,7.72E-01,no,0.61,1.34E-03,recovery,TM7x_02795,525126,526751,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00563,AJA06878.1,hypothetical protein,fig|1476577.3.peg.514,hypothetical protein,,,,,,,,,,,,TM7x_02795
TM7x_02800,0.77,1.22E-04,recovery,0.10,7.00E-01,no,0.88,4.36E-05,recovery,0.08,6.67E-01,no,0.85,5.95E-05,recovery,TM7x_02800,526753,528015,reverse,Cell division protein FtsA,K03590,D: Cell cycle control and mitosis,,TM7x001_00564,AJA06575.1,actin,fig|1476577.3.peg.515,hypothetical protein,,Cell division protein FtsA,,,,,,,,D: Cell cycle control and mitosis,,TM7x_02800
